Time,SO2,H2S,H2,CO2serial,CO2_Corre,Ext,Rh,Tair,Pressure,Lat,Long,VBatt,H2Scor,H2cor,,,
13/07/2018 19:25,0.9146462,-0.1783571,8.091229,454.4139,16.7639,19.04837,52.9584,25.40114,808.2,13.43236,-88.26936,13.04802,-0.1260571,3.050229,,,
13/07/2018 19:25,0.919323,-0.1778221,8.247131,455.9215,18.2715,19.03607,52.81352,25.39874,808.2,13.43237,-88.26936,13.04802,-0.1255221,3.206131,,,
13/07/2018 19:25,0.9186478,-0.1667614,8.067131,454.1123,16.4623,19.02796,52.65484,25.39909,808.2,13.43238,-88.26936,13.04802,-0.1144614,3.026131,,,
13/07/2018 19:25,0.9174233,-0.1779823,8.114982,451.3986,13.7486,18.93731,52.49155,25.39861,808.2,13.43239,-88.26937,12.96061,-0.1256823,3.073982,,,
13/07/2018 19:25,0.9199257,-0.1740236,8.29617,453.5093,15.8593,18.985,52.3238,25.39756,808.1,13.4324,-88.26938,12.96061,-0.1217236,3.25517,,,
13/07/2018 19:25,0.9197159,-0.165556,8.210384,457.1276,19.4776,19.06486,52.12958,25.39587,808.2,13.4324,-88.26938,12.96061,-0.113256,3.169384,,,
13/07/2018 19:25,0.9152183,-0.1707458,8.071911,453.8108,16.1608,19.02314,51.94602,25.39535,808.2,13.4324,-88.26938,12.96061,-0.1184458,3.030911,,,
13/07/2018 19:25,0.9184609,-0.1772728,8.058796,451.7001,14.0501,19.07628,51.75174,25.39491,808.2,13.4324,-88.26937,12.96061,-0.1249728,3.017796,,,
13/07/2018 19:25,0.9157334,-0.1799479,8.012378,453.8108,16.1608,19.07701,51.5463,25.39445,808.2,13.4324,-88.26937,12.96061,-0.1276479,2.971378,,,
13/07/2018 19:25,0.9204292,-0.1864376,8.010887,453.5093,15.8593,19.02171,51.35469,25.3926,808.2,13.4324,-88.26938,12.96061,-0.1341376,2.969887,,,
13/07/2018 19:25,0.9175682,-0.1754608,8.11245,450.7956,13.1456,18.95388,51.16499,25.3923,808.2,13.4324,-88.26938,12.96061,-0.1231608,3.07145,,,
13/07/2018 19:25,0.9181137,-0.1750622,7.881103,451.7001,14.0501,19.01225,50.97529,25.39079,808.2,13.43241,-88.26939,13.04938,-0.1227622,2.840103,,,
13/07/2018 19:25,0.9211388,-0.1625929,7.96157,452.9062,15.2562,18.9344,50.79368,25.39135,808.2,13.43242,-88.2694,13.04938,-0.1102929,2.92057,,,
13/07/2018 19:25,0.9200706,-0.1744461,7.995037,452.3032,14.6532,18.87849,50.63698,25.38927,808.2,13.43243,-88.2694,13.04938,-0.1221461,2.954037,,,
13/07/2018 19:25,0.923954,-0.1711864,8.192367,455.62,17.97,18.96586,50.48027,25.38879,808.2,13.43243,-88.26941,13.04938,-0.1188864,3.151367,,,
13/07/2018 19:25,0.9259567,-0.1776361,7.989632,452.9062,15.2562,18.98618,50.35087,25.38786,808.2,13.43244,-88.26942,13.04938,-0.1253361,2.948632,,,
13/07/2018 19:25,0.9289474,-0.1938629,7.94511,453.8108,16.1608,19.06521,50.23077,25.38762,808.3,13.43245,-88.26942,13.04938,-0.1415629,2.90411,,,
13/07/2018 19:25,0.9366874,-0.1804285,7.732754,456.8261,19.1761,19.03614,50.13891,25.38734,808.3,13.43246,-88.26942,13.04938,-0.1281285,2.691754,,,
13/07/2018 19:25,0.9356308,-0.1693192,7.766735,453.8108,16.1608,19.13553,50.06896,25.3854,808.3,13.43247,-88.26942,13.04938,-0.1170192,2.725735,,,
13/07/2018 19:25,0.9442482,-0.1636238,7.884464,454.4139,16.7639,19.23432,49.98834,25.38501,808.3,13.43247,-88.26943,12.97143,-0.1113238,2.843464,,,
13/07/2018 19:25,0.949379,-0.1579828,7.896542,454.7154,17.0654,19.13979,49.92074,25.38577,808.3,13.43248,-88.26943,12.97143,-0.1056828,2.855542,,,
13/07/2018 19:25,0.9547577,-0.1602421,7.945511,457.4291,19.7791,19.1516,49.85075,25.38417,808.3,13.43249,-88.26944,12.97143,-0.1079421,2.904511,,,
13/07/2018 19:25,0.9536705,-0.1640568,8.036251,456.8261,19.1761,19.00598,49.78869,25.38258,808.3,13.4325,-88.26944,12.97143,-0.1117568,2.995251,,,
13/07/2018 19:25,0.956379,-0.1687212,8.054298,459.5398,21.8898,19.02931,49.74439,25.38259,808.3,13.4325,-88.26944,12.97143,-0.1164212,3.013298,,,
13/07/2018 19:25,0.9617462,-0.1653824,7.90585,459.5398,21.8898,19.05622,49.72982,25.3819,808.3,13.43251,-88.26945,12.97143,-0.1130824,2.86485,,,
13/07/2018 19:25,0.9540825,-0.1565056,7.951458,460.1429,22.4929,19.10427,49.72734,25.38158,808.3,13.43252,-88.26945,12.97143,-0.1042056,2.910458,,,
13/07/2018 19:25,0.9515991,-0.1474266,7.872875,456.8261,19.1761,19.0391,49.73771,25.37963,808.4,13.43252,-88.26946,12.97143,-0.0951266,2.831875,,,
13/07/2018 19:25,0.9488487,-0.1407623,7.83445,456.8261,19.1761,19.0949,49.74237,25.37912,808.3,13.43253,-88.26946,13.03007,-0.0884623,2.79345,,,
