Date,Time,t[ms],CO2[ppm],SO2[ppm],T[C],Pressure[Pa],Humidity[%],SO2_cal(ppm),CO2_cal(mol/L),CO2_cal(mg/L),CO2_cal_corr(mg/L),CO2_cal_corr(mol/m3),CO2_mix_ra(mol/mol),CO2_mix_ra(ppm),X^2,d,d2,D,sy,sm,sb
2/5/2019,17:31:01,58849,824,11.48,23.47,78899,53.72,0.224747736,1.62063E-05,0.7132,0.0135,0.000307674,9.61678E-06,9.616779576,,,,,,,
2/5/2019,17:31:01,59352,820,11.42,23.47,78893,53.72,0.217859972,0.000016073,0.7074,0.0077,0.000174341,5.44967E-06,5.449674045,,,,,,,
2/5/2019,17:31:02,59852,813,11.41,23.48,78897,53.72,0.216712011,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84401E-06,-1.844009222,,,,,,,
2/5/2019,17:31:02,60354,819,11.45,23.47,78898,53.74,0.221303854,1.60397E-05,0.7059,0.0062,0.000141007,4.40744E-06,4.407435487,,,,,,,
2/5/2019,17:31:03,60856,811,11.5,23.47,78896,53.74,0.227043657,0.000015773,0.6942,-0.0055,-0.000125659,-3.92781E-06,-3.927809643,,,,,,,
2/5/2019,17:31:03,61358,835,11.37,23.47,78897,53.77,0.212120169,0.000016573,0.7294,0.0297,0.000674341,2.1078E-05,21.07799377,,,,,,,
2/5/2019,17:31:04,61859,829,11.5,23.48,78898,53.77,0.227043657,0.000016373,0.7206,0.0209,0.000474341,1.48269E-05,14.82686729,,,,,,,
2/5/2019,17:31:04,62361,821,11.34,23.47,78897,53.77,0.208676287,1.61063E-05,0.7088,0.0091,0.000207674,6.4913E-06,6.491304153,,,,,,,
2/5/2019,17:31:05,62866,816,11.59,23.47,78897,53.77,0.237375303,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28177E-06,1.281772147,,,,,,,
2/5/2019,17:31:05,63365,822,11.59,23.47,78898,53.77,0.237375303,1.61397E-05,0.7103,0.0106,0.000241007,7.53312E-06,7.533115073,,,,,,,
2/5/2019,17:31:06,63866,824,11.47,23.48,78900,53.8,0.223599775,1.62063E-05,0.7132,0.0135,0.000307674,9.61698E-06,9.616981898,,,,,,,
2/5/2019,17:31:06,64368,813,11.58,23.48,78896,53.8,0.236227342,1.58397E-05,0.6971,-0.0026,-5.89927E-05,-1.84403E-06,-1.844032595,,,,,,,
2/5/2019,17:31:07,64870,811,11.49,23.48,78895,53.8,0.225895696,0.000015773,0.6942,-0.0055,-0.000125659,-3.92799E-06,-3.927991849,,,,,,,
2/5/2019,17:31:07,65373,806,11.45,23.5,78897,53.8,0.221303854,1.56063E-05,0.6868,-0.0129,-0.000292326,-9.13822E-06,-9.138216006,,,,,,,
2/5/2019,17:31:08,65874,817,11.5,23.49,78899,53.77,0.227043657,0.000015973,0.7030,0.0033,7.43406E-05,2.32378E-06,2.323776319,,,,,,,
2/5/2019,17:31:08,66376,811,11.45,23.48,78896,53.77,0.221303854,0.000015773,0.6942,-0.0055,-0.000125659,-3.92794E-06,-3.927942062,,,,,,,
2/5/2019,17:31:09,66803,818,11.5,23.49,78900,53.77,0.227043657,1.60063E-05,0.7044,0.0047,0.000107674,3.36568E-06,3.365683901,,,,,,,
2/5/2019,17:31:09,67305,819,11.63,23.49,78897,53.77,0.241967145,1.60397E-05,0.7059,0.0062,0.000141007,4.40779E-06,4.407788531,,,,,,,
2/5/2019,17:31:10,67807,819,11.59,23.48,78898,53.74,0.237375303,1.60397E-05,0.7059,0.0062,0.000141007,4.40758E-06,4.407584076,,,,,,,
2/5/2019,17:31:10,68308,824,11.6,23.5,78898,53.74,0.238523263,1.62063E-05,0.7132,0.0135,0.000307674,9.61787E-06,9.617874113,,,,,,,
2/5/2019,17:31:11,68810,824,11.57,23.48,78895,53.72,0.235079381,1.62063E-05,0.7132,0.0135,0.000307674,9.61759E-06,9.617591378,,,,,,,
2/5/2019,17:31:11,69312,814,11.52,23.49,78898,53.72,0.229339578,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.02085E-07,-0.802084568,,,,,,,
2/5/2019,17:31:12,69814,816,11.53,23.5,78902,53.68,0.230487539,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28182E-06,1.281820551,,,,,,,
2/5/2019,17:31:12,70316,816,11.47,23.49,78897,53.66,0.223599775,1.59397E-05,0.7015,0.0018,4.10073E-05,1.28186E-06,1.281858572,,,,,,,
2/5/2019,17:31:13,70817,812,11.54,23.48,78902,53.63,0.2316355,1.58063E-05,0.6956,-0.0041,-9.23261E-05,-2.88577E-06,-2.885767867,,,,,,,
2/5/2019,17:31:13,71319,823,11.52,23.49,78901,53.6,0.229339578,0.000016173,0.7118,0.0121,0.000274341,8.57526E-06,8.575260387,,,,,,,
2/5/2019,17:31:14,71821,817,11.63,23.5,78901,53.6,0.241967145,0.000015973,0.7030,0.0033,7.43406E-05,2.3238E-06,2.32379575,,,,,,,
2/5/2019,17:31:14,72323,821,11.55,23.49,78895,53.6,0.23278346,1.61063E-05,0.7088,0.0091,0.000207674,6.49191E-06,6.491906404,,,,,,,
2/5/2019,17:31:15,72824,812,11.69,23.48,78893,53.58,0.248854909,1.58063E-05,0.6956,-0.0041,-9.23261E-05,-2.8861E-06,-2.886097071,,,,,,,
2/5/2019,17:31:15,73326,833,11.77,23.5,78899,53.58,0.258038594,1.65063E-05,0.7264,0.0267,0.000607674,1.89956E-05,18.9956205,,,,,,,
2/5/2019,17:31:16,73828,826,11.87,23.51,78899,53.55,0.269518201,0.000016273,0.7162,0.0165,0.000374341,1.17021E-05,11.7021174,,,,,,,
2/5/2019,17:31:16,74330,818,11.9,23.5,78902,53.55,0.272962083,1.60063E-05,0.7044,0.0047,0.000107674,3.36571E-06,3.365712045,,,,,,,
2/5/2019,17:31:17,74831,814,11.93,23.48,78899,53.55,0.276405965,0.000015873,0.6986,-0.0011,-2.56594E-05,-8.02047E-07,-0.802047363,,,,,,,
2/5/2019,17:31:17,75333,815,11.95,23.5,78893,53.52,0.278701886,1.59063E-05,0.7000,0.0003,7.67394E-06,2.39902E-07,0.239902168,,,,,,,
2/5/2019,17:31:18,75835,823,12,23.5,78892,53.52,0.284441689,0.000016173,0.7118,0.0121,0.000274341,8.57653E-06,8.576527765,,,,,,,
2/5/2019,17:31:18,76337,825,12,23.5,78896,53.49,0.284441689,1.62397E-05,0.7147,0.0150,0.000341007,1.06601E-05,10.66014291,,,,,,,
2/5/2019,17:31:19,76838,820,12.06,23.51,78897,53.49,0.291329453,0.000016073,0.7074,0.0077,0.000174341,5.45013E-06,5.450132617,,,,,,,
2/5/2019,17:31:19,77344,809,12.2,23.5,78895,53.49,0.307400902,1.57063E-05,0.6912,-0.0085,-0.000192326,-6.01233E-06,-6.012333079,,,,,,,
2/5/2019,17:31:20,77842,818,12.3,23.51,78898,53.46,0.318880509,1.60063E-05,0.7044,0.0047,0.000107674,3.366E-06,3.365996144,,,,,,,
